filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_024-Habersham North-3934.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2394.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4083.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1676.tif,024,01,Habersham North,Dem,Amanda Duffy
Pre_024-Habersham North-0568.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2419.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-0583.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1845.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3061.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3707.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1110.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1104.tif,024,01,Habersham North,Rep,Greg Dolezal
Pre_024-Habersham North-4054.tif,024,01,Habersham North,Dem,Geoff Duncan
Pre_024-Habersham North-0554.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-3075.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-1662.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2343.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1892.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-0232.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4040.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2431.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1138.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0226.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0540.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1886.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-3049.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-2357.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0227.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1139.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2430.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3048.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4041.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2356.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-1887.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2342.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0555.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-1893.tif,024,01,Habersham North,Rep,Steve Gooch
Pre_024-Habersham North-2424.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4055.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-0233.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-1105.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-1663.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3074.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-0569.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1111.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2418.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4069.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3060.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3706.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4082.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3935.tif,024,01,Habersham North,Rep,Steve Gooch
Pre_024-Habersham North-1844.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0582.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2381.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2395.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1850.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3921.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-0596.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1688.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1878.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-4096.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3909.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2154.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0743.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4525.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2632.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4243.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-4531.tif,024,01,Habersham North,Dem,Geoff Duncan
Pre_024-Habersham North-0025.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3538.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4257.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1449.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-2626.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2140.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0757.tif,024,01,Habersham North,Rep,[unread]
Pre_024-Habersham North-4519.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2168.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3276.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-1307.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1461.tif,024,01,Habersham North,Rep,[unread]
Pre_024-Habersham North-3289.tif,024,01,Habersham North,Dem,Olu Brown
Pre_024-Habersham North-0019.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-3504.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-1475.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2197.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0780.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0958.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1313.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3262.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2829.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0964.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-4294.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4280.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-0794.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2183.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2801.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-0970.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1529.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-0637.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2020.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-4451.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2746.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4337.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3458.tif,024,01,Habersham North,Rep,[unread]
Pre_024-Habersham North-0151.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0145.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2034.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-4323.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2752.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-0623.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-4445.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3464.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-3302.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1515.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1273.tif,024,01,Habersham North,Rep,David Clark
