snapshot_time_et,snapshot_date,source_layer,ObjectID,GlobalID,EditDate,precinct_name,precinct_location_name,precinct_address,precinct_open_closed,wait_current,lon,lat
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,78,381741a7-fd52-4dda-a836-ec5948fded5d,1779193348902,FA01C/D,Harvest Rain Church,"8567 Bohannon Road , Fairburn, GA  30213",Open,0.0,-84.587029,33.525288
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,79,1dda813d-3893-43c0-a07b-54e3e52f9257,1779191735589,HP01,Hoyt Smith Center,"3444 North Fulton Avenue , Hapeville, GA  30354",Open,1.0,-84.407676,33.660022999999995
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,80,a2ff5edf-8462-41d3-9e0c-77407edb5d75,1776445464358,JC01 & JC01A,Shakerag Elementary,"10885 Rogers Circle , Johns Creek, GA  30097",Open,0.0,-84.129421,34.045967999999995
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,81,396ebb56-c3e0-49c1-9671-91dd65a84974,1779192857866,JC02 & JC06,Abbotts Hill Elementary,"5575 Abbotts Bridge Road , Johns Creek, GA 30097",Open,0.0,-84.19729300000002,34.056036
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,82,654b1337-f81c-4376-85ee-ba728fdbffe3,1776445474618,JC03 A/B & JC04 A/B/C & JC05,Robert E. Fulton  Ocee Library ,"5090 Abbotts Bridge Rd  , Johns Creek, GA 30005",Open,0.0,-84.209967,34.06477099999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,83,9a9e82c8-3bee-4390-88ab-1e280f2fd2cb,1779195709499,JC07 & JC11,Johns Creek High School,"5575 State Bridge Road , Johns Creek, GA 30022",Open,0.0,-84.19535099999999,34.022777999999995
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,84,15223fc1-7d8b-4e37-aaf9-3139ecffb0b8,1779195640267,JC08 & JC09 & JC10,Chattahoochee High School,"5230 Taylor Road , Alpharetta, GA  30022",Open,0.0,-84.20864099999999,34.04866199999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,85,360b6e27-7c2b-42b9-abe4-c360bf66e428,1779194820003,JC12 & JC13 A/B & JC14 & JC15,Northeast / Spruill Oaks Library,"9560 Spruill Road , Alpharetta, GA  30022",Open,0.0,-84.224419,34.01443
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,86,4ea65e11-9baf-4fcc-a10f-d255d50c16be,1776445474618,JC18 & JC19 & JC19A,Mount Pisgah United Methodist Church,"2850 Old Alabama Road , Johns Creek, GA  30022",Open,0.0,-84.276525,34.021034
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,87,d23f0663-e153-4343-8b2c-e81c40c8fa71,1779195570478,ML01 A/B/C,Milton Library,"855 Mayfield Road , Alpharetta, GA 30009",Open,0.0,-84.336592,34.090002999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,88,808024df-c621-4e23-8d70-ed9330750eb1,1779195850490,ML02 A/B & ML03A,Milton City Park & Preserve,"1785 Dinsmore Road , Milton, GA 30004",Open,0.0,-84.312209,34.151054999999985
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,89,38557541-21e6-405c-a587-3bc08c8ae56a,1779193914270,ML03 & ML07A/B,Hopewell Baptist Church,"15730 Hopewell Road , Milton, GA  30004",Open,0.0,-84.283908,34.164348999999994
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,90,728f9ed3-02ec-480c-b56f-3a56718a3884,1779192150436,ML04,Bethwell Community Center,"2595 Hopewell Road , Milton, GA 30004",Open,0.0,-84.285765,34.13718699999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,91,6c9bc9ae-e424-4a1f-a1aa-7fcc40a38cab,1779184499553,ML05 & ML06A/B,Cambridge High School,"2845 Bethany Bend , Milton, GA 30004",Open,0.0,-84.275259,34.118601
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,92,3850c1a1-1690-4416-9686-e8c6ae1d5c5c,1779193560218,MP01,Mountain Park Community Building,"100 Lakeshore Drive , Mountain Park, GA  30075",Open,0.0,-84.41428600000002,34.08362399999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,93,24ffe6e0-8446-420d-ad27-de9f389aa9c0,1779195924403,PA01,Palmetto Library,"9111 Cascade Palmetto Hwy , Palmetto, GA  30268",Open,0.0,-84.664113,33.53048199999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,94,7e94bfdf-964e-47de-b594-068253235120,1779195427245,RW01,Lebanon Baptist Church,"11250 Crabapple Road  , Roswell, GA 30075",Open,0.0,-84.361355,34.05463999999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,95,bf6a8a30-6d94-49f0-9b39-61cf2fce17c7,1779193137293,RW02 & RW03 & RW03B  & RW10A & RW11A,Roswell Library,"115 Norcross Street  , Roswell, GA 30075",Open,0.0,-84.357908,34.025133
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,96,53cef47b-d6b5-4035-83c9-2e476b600a2a,1779193279117,RW03A & RW03C & RW17,Esther Jackson Elementary School,"1400 Martin Road , Roswell, GA  30076",Open,0.0,-84.31808400000001,34.010875000000006
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,97,1d8abc66-a692-4109-8a22-19f45f338cc3,1779195924403,RW04 & RW20,East Roswell Branch Library,"2301 Holcomb Bridge Road , Roswell, GA  30076",Open,0.0,-84.293829,34.002575
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,98,c982853d-85e7-43bf-a4ea-2a954c450aea,1779195850490,RW06 & RW07A/B & RW13,Saint Mary's Orthodox Church of Atlanta ,"1950 Old Alabama Road , Roswell, GA 30076",Open,0.0,-84.301988,34.026221
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,99,17685814-98af-47fb-8391-9e138f0312f0,1779192150436,RW08 & RW10 & RW16,Crosspointe Community Church,"77 East Crossville Road Suite 100 , Roswell, GA  30075",Open,0.0,-84.35957500000002,34.045733999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,100,cb9f1959-e568-4c69-95e8-83fd9c37b7b6,1779195709499,RW09 & RW09A,Roswell High School,"11595 King Road , Roswell, GA 30075",Open,0.0,-84.381209,34.06314799999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,101,8cada81a-7c0c-4fdb-b353-ee62dfc0ec93,1779190771023,RW12 & RW12A & RW19 ,North River Baptist Church,"12090 Hardscrabble Road , Roswell, GA  30075",Open,0.0,-84.365091,34.075072
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,103,11605bf5-2ebe-4d20-8cee-8a6cdaa3bf5c,1779195850490,SC01A/C/D & SC31,Sandtown Park Recreation Center,"5370 Campbellton Road SW , South Fulton, GA 30331",Open,0.0,-84.563061,33.703652
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,104,e60c320f-0074-450d-92da-bb52be5e17a2,1776445481613,SC01B,Camp Creek Church of Christ,"2400 Merk Road  , South Fulton, GA 30331",Open,0.0,-84.557359,33.67413199999999
